StartDate,EndDate,Count,Tickers,Names
2024-08-26,2024-09-20,31,AAPL|ADBE|AMAT|AMD|AMGN|AMZN|AVGO|BKNG|CMCSA|COST|CSCO|GOOG|GOOGL|HON|INTC|INTU|ISRG|LIN|LRCX|META|MSFT|MU|NFLX|NVDA|PEP|QCOM|REGN|TMUS|TSLA|TXN|VRTX,"APPLE INC.|ADOBE INC.|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|BROADCOM INC.|BOOKING HOLDINGS INC|COMCAST CORP A|COSTCO WHOLESALE|CISCO SYSTEMS INC.|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTEL CORP|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|LAM RESEARCH CORP|META PLATFORMS, INC.|MICROSOFT CORP|MICRON TECHNOLOGY|NETFLIX, INC.|NVIDIA CORPORATION|PEPSICO INC|QUALCOMM INC|REGENERON PHARMACEUT|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS|VERTEX PHARMACEUTIC"
2024-09-23,2024-12-20,31,AAPL|ADBE|ADI|ADP|AMAT|AMD|AMGN|AMZN|AVGO|BKNG|CMCSA|COST|CSCO|GOOG|GOOGL|HON|INTU|ISRG|LIN|META|MSFT|NFLX|NVDA|PANW|PEP|QCOM|REGN|TMUS|TSLA|TXN|VRTX,"APPLE INC.|ADOBE INC.|ANALOG DEVICES CMN|AUTOMATIC DATA PROCS|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|BROADCOM INC.|BOOKING HOLDINGS INC|COMCAST CORP A|COSTCO WHOLESALE|CISCO SYSTEMS INC.|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|META PLATFORMS, INC.|MICROSOFT CORP|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|QUALCOMM INC|REGENERON PHARMACEUT|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS|VERTEX PHARMACEUTIC"
2024-12-23,2025-03-21,31,AAPL|ADBE|ADP|AMAT|AMD|AMGN|AMZN|AVGO|BKNG|CMCSA|COST|CSCO|GOOG|GOOGL|HON|INTU|ISRG|LIN|META|MSFT|NFLX|NVDA|PANW|PEP|PLTR|QCOM|SBUX|TMUS|TSLA|TXN|VRTX,"APPLE INC.|ADOBE INC.|AUTOMATIC DATA PROCS|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|BROADCOM INC.|BOOKING HOLDINGS INC|COMCAST CORP A|COSTCO WHOLESALE|CISCO SYSTEMS INC.|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|META PLATFORMS, INC.|MICROSOFT CORP|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|STARBUCKS CORP|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS|VERTEX PHARMACEUTIC"
2025-03-24,2025-06-20,31,AAPL|ADBE|ADP|AMAT|AMD|AMGN|AMZN|AVGO|BKNG|CMCSA|COST|CSCO|GILD|GOOG|GOOGL|HON|INTU|ISRG|LIN|META|MSFT|NFLX|NVDA|PANW|PEP|PLTR|QCOM|SBUX|TMUS|TSLA|TXN,"APPLE INC.|ADOBE INC.|AUTOMATIC DATA PROCS|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|BROADCOM INC.|BOOKING HOLDINGS INC|COMCAST CORP A|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|META PLATFORMS, INC.|MICROSOFT CORP|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|STARBUCKS CORP|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS"
2025-06-23,2025-09-19,31,AAPL|ADBE|ADP|AMD|AMGN|AMZN|AVGO|BKNG|CMCSA|COST|CSCO|GILD|GOOG|GOOGL|HON|INTU|ISRG|LIN|MELI|META|MSFT|NFLX|NVDA|PANW|PEP|PLTR|QCOM|SHOP|TMUS|TSLA|TXN,"APPLE INC.|ADOBE INC.|AUTOMATIC DATA PROCS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|BROADCOM INC.|BOOKING HOLDINGS INC|COMCAST CORP A|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|MERCADOLIBRE, INC.|META PLATFORMS, INC.|MICROSOFT CORP|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|SHOPIFY INC.|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS"
2025-09-22,2025-10-29,31,AAPL|ADBE|AMAT|AMD|AMGN|AMZN|APP|AVGO|BKNG|COST|CSCO|GILD|GOOG|GOOGL|HON|INTU|ISRG|LIN|META|MSFT|MU|NFLX|NVDA|PANW|PEP|PLTR|QCOM|SHOP|TMUS|TSLA|TXN,"APPLE INC.|ADOBE INC.|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|APPLOVIN CORP CLA CM|BROADCOM INC.|BOOKING HOLDINGS INC|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|META PLATFORMS, INC.|MICROSOFT CORP|MICRON TECHNOLOGY|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|SHOPIFY INC.|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS"
2025-10-30,2025-11-07,32,AAPL|ADBE|AMAT|AMD|AMGN|AMZN|APP|AVGO|BKNG|COST|CSCO|GILD|GOOG|GOOGL|HON|INTU|ISRG|LIN|META|MSFT|MU|NFLX|NVDA|PANW|PEP|PLTR|QCOM|SHOP|SOLS|TMUS|TSLA|TXN,"APPLE INC.|ADOBE INC.|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|APPLOVIN CORP CLA CM|BROADCOM INC.|BOOKING HOLDINGS INC|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|META PLATFORMS, INC.|MICROSOFT CORP|MICRON TECHNOLOGY|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|SHOPIFY INC.|SOLSTICE ADV CS|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS"
2025-11-10,2025-12-19,31,AAPL|ADBE|AMAT|AMD|AMGN|AMZN|APP|AVGO|BKNG|COST|CSCO|GILD|GOOG|GOOGL|HON|INTU|ISRG|LIN|META|MSFT|MU|NFLX|NVDA|PANW|PEP|PLTR|QCOM|SHOP|TMUS|TSLA|TXN,"APPLE INC.|ADOBE INC.|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|APPLOVIN CORP CLA CM|BROADCOM INC.|BOOKING HOLDINGS INC|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTUIT INC|INTUITIVE SURG, INC.|LINDE PLC|META PLATFORMS, INC.|MICROSOFT CORP|MICRON TECHNOLOGY|NETFLIX, INC.|NVIDIA CORPORATION|PALO ALTO NTWKS CM|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|SHOPIFY INC.|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS"
2025-12-22,2026-03-20,31,AAPL|AMAT|AMD|AMGN|AMZN|APP|AVGO|BKNG|COST|CSCO|GILD|GOOG|GOOGL|INTC|INTU|ISRG|KLAC|LIN|LRCX|META|MSFT|MU|NFLX|NVDA|PEP|PLTR|QCOM|SHOP|TMUS|TSLA|TXN,"APPLE INC.|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|APPLOVIN CORP CLA CM|BROADCOM INC.|BOOKING HOLDINGS INC|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|INTEL CORP|INTUIT INC|INTUITIVE SURG, INC.|KLA CP CMN STK|LINDE PLC|LAM RESEARCH CORP|META PLATFORMS, INC.|MICROSOFT CORP|MICRON TECHNOLOGY|NETFLIX, INC.|NVIDIA CORPORATION|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|SHOPIFY INC.|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS"
2026-03-23,2026-03-27,31,AAPL|ADI|AMAT|AMD|AMGN|AMZN|AVGO|COST|CSCO|GILD|GOOG|GOOGL|HON|INTC|ISRG|KLAC|LIN|LRCX|META|MSFT|MU|NFLX|NVDA|PEP|PLTR|QCOM|SHOP|TMUS|TSLA|TXN|WMT,"APPLE INC.|ANALOG DEVICES CMN|APPLIED MATERIALS|ADV MICRO DEVICES|AMGEN|AMAZON.COM INC|BROADCOM INC.|COSTCO WHOLESALE|CISCO SYSTEMS INC.|GILEAD SCIENCES, INC|ALPHABET CL C CAP|ALPHABET CL A CMN|HONEYWELL INTL INC|INTEL CORP|INTUITIVE SURG, INC.|KLA CP CMN STK|LINDE PLC|LAM RESEARCH CORP|META PLATFORMS, INC.|MICROSOFT CORP|MICRON TECHNOLOGY|NETFLIX, INC.|NVIDIA CORPORATION|PEPSICO INC|PALANTIR TECH CL A|QUALCOMM INC|SHOPIFY INC.|T-MOBILE US CMN|TESLA, INC.|TEXAS INSTRUMENTS|WALMART INC CMN"
