Date,OfficialCount,KeptMappedCount,RemovedExtraCount,MissingOfficialCount,RemovedExtras,MissingOfficial
2000-06-30,0,35,0,0,,
2000-09-18,0,35,0,0,,
2000-12-18,0,35,0,0,,
2001-03-19,0,46,0,0,,
2001-06-18,0,46,0,0,,
2001-09-24,0,30,0,0,,
2001-12-24,0,30,0,0,,
2002-03-18,0,49,0,0,,
2002-06-24,0,49,0,0,,
2002-09-23,0,49,0,0,,
2002-12-23,0,37,0,0,,
2003-03-24,100,66,30,34,AGTX|AMCC|ATML|AVGO|BIIB|BNSOF|CDRE|CEFT|CHTR|CNXT|CYTC|EA|ERIXF|FULO|GEN|GMST|IMCL|IMTE|ITWO|JAVA|LADX|MIRM|OSIS|OTIS|PDLI|PMCS|RATL|SBAC|SEPR|VSSYW,ADCT|APCC|BGEN|BRCM|CHRW|DISH|ERICY|ERTS|EXPD|FAST|FHCC|FLEX|GNTX|HSIC|LAMR|LNCR|MLNM|MSFT|NVLS|NXTL|PDCO|PETM|PIXR|PTEN|ROST|RYAAY|SEBL|SIAL|SUNW|SYMC|TEVA|TMPW|WFMI|XRAY
2003-06-23,100,65,31,35,AGTX|AMCC|ATML|AVGO|BIIB|BNSOF|CDRE|CEFT|CHTR|CNXT|CYTC|EA|ERIXF|FULO|GEN|GMST|IMCL|IMTE|ITWO|JAVA|LADX|MIRM|OSIS|OTIS|PDLI|PMCS|RATL|SBAC|SEPR|USAI|VSSYW,ADCT|APCC|BGEN|BRCM|CHRW|DISH|ERICY|ERTS|EXPD|FAST|FHCC|FLEX|GNTX|HSIC|IACI|LAMR|LNCR|MLNM|MNST|MSFT|NVLS|NXTL|PDCO|PETM|PIXR|PTEN|ROST|RYAAY|SEBL|SIAL|SUNW|SYMC|TEVA|WFMI|XRAY
2003-09-22,100,65,31,35,AGTX|AMCC|ATML|AVGO|BIIB|BNSOF|CDRE|CEFT|CHTR|CNXT|CYTC|EA|ERIXF|FULO|GEN|GMST|IMCL|IMTE|ITWO|JAVA|LADX|MIRM|OSIS|OTIS|PDLI|PMCS|RATL|SBAC|SEPR|USAI|VSSYW,ADCT|APCC|BGEN|BRCM|CHRW|DISH|ERICY|ERTS|EXPD|FAST|FHCC|FLEX|GNTX|HSIC|IACI|LAMR|LNCR|MLNM|MNST|MSFT|NVLS|NXTL|PDCO|PETM|PIXR|PTEN|ROST|RYAAY|SEBL|SIAL|SUNW|SYMC|TEVA|WFMI|XRAY
2003-12-22,100,60,36,40,AGTX|AMCC|ATML|AVGO|BNSOF|BRCD|CDRE|CEFT|CHTR|CIEN|CNXT|CYTC|EA|ERIXF|FULO|GEN|GMST|HGSI|ICOS|IDPH|IMCL|IMTE|ITWO|JAVA|LADX|MIRM|OSIS|OTIS|PDLI|PMCS|RATL|RFMD|SBAC|SEPR|USAI|VSSYW,APCC|ATYT|BRCM|CECO|CHRW|DISH|ERTS|EXPD|FAST|FHCC|FLEX|GNTX|GRMN|HSIC|IACI|ISIL|LAMR|LNCR|LRCX|LVLT|MLNM|MRVL|MSFT|NVLS|NXTL|PDCO|PETM|PIXR|PTEN|RIMM|ROST|RYAAY|SEBL|SIAL|SNDK|SUNW|SYMC|TEVA|WFMI|XRAY
2004-03-22,100,73,25,27,AHG|AVGO|BNSOF|BRCD|CDRE|CDW|CIEN|EA|ERIXF|FULO|GEN|HGSI|IAC|ICOS|IDPH|JAVA|MIRM|MWW|NPKI|OSIS|RFMD|RYAOF|SBAC|VRTS|VSSYW,ATYT|BRCM|CDWC|CECO|DISH|ERTS|FHCC|FLEX|GRMN|IACI|ISIL|LNCR|LRCX|LVLT|MLNM|MRVL|NVLS|NXTL|RIMM|RYAAY|SEBL|SNDK|SUNW|SYMC|VRTSE|WFMI|XRAY
2004-06-21,100,74,24,26,AHG|AVGO|BNSOF|BRCD|CDRE|CDW|CIEN|EA|ERIXF|FULO|GEN|HGSI|IAC|ICOS|IDPH|JAVA|MIRM|MWW|NPKI|OSIS|RFMD|RYAOF|SBAC|VSSYW,ATYT|BRCM|CDWC|CECO|DISH|ERTS|FHCC|FLEX|GRMN|IACI|ISIL|LNCR|LRCX|LVLT|MLNM|MRVL|NVLS|NXTL|RIMM|RYAAY|SEBL|SNDK|SUNW|SYMC|WFMI|XRAY
2004-09-20,100,73,25,27,AHG|AVGO|BNSOF|BRCD|CDRE|CDW|CIEN|EA|ERIXF|FULO|GEN|HGSI|IAC|ICOS|IDPH|JAVA|MIRM|MWW|NPKI|OSIS|RFMD|RYAOF|SBAC|SPOT|VSSYW,ATYT|BRCM|CDWC|CECO|DISH|ERTS|FHCC|FLEX|GRMN|IACI|ISIL|KMRT|LNCR|LRCX|LVLT|MLNM|MRVL|NVLS|NXTL|RIMM|RYAAY|SEBL|SNDK|SUNW|SYMC|WFMI|XRAY
2004-12-20,100,66,32,34,AHG|AVGO|BNSOF|BRCD|CDRE|CDW|CEPH|CIEN|CPWR|EA|ERIXF|FULO|GEN|GNTX|HGSI|HSIC|IAC|ICOS|IDPH|JAVA|MIRM|MOLX|MWW|NPKI|NVDA|OSIS|PTEN|RFMD|RYAOF|SBAC|SPOT|VSSYW,ADSK|ATYT|BRCM|CDWC|CECO|DISH|ERICY|ERTS|FLEX|GRMN|IACI|ISIL|KMRT|LBTYA|LNCR|LRCX|LVLT|MCIP|MLNM|MOLXE|MRVL|NTLI|NVLS|NXTL|RIMM|SEBL|SIRI|SNDK|SUNW|SYMC|WFMI|WYNN|XMSR|XRAY
2005-03-21,100,72,27,28,ACI|AHG|AVGO|BBRY|BNSOF|CDRE|CDW|CEPH|CPWR|EA|FULO|GEN|GNTX|HSIC|IAC|JAVA|LAUR|MARA|MIRM|MOLX|NPKI|NVDA|PSFT|PTEN|RYAOF|SBAC|WFM,ADSK|ATYT|BRCM|CDWC|CECO|CTSH|DISH|ERICY|ERTS|FLEX|IACI|KMRT|LBTYA|LNCR|MCIP|MLNM|MOLXE|NTLI|NXTL|PDCO|RIMM|SIRI|SUNW|SYMC|WFMI|WYNN|XMSR|XRAY
2005-06-20,100,73,26,27,ACI|AHG|AVGO|BBRY|BNSOF|CDRE|CDW|CEPH|CPWR|EA|FULO|GEN|GNTX|HSIC|IAC|JAVA|LAUR|MARA|MIRM|NPKI|NVDA|PSFT|PTEN|RYAOF|SBAC|WFM,ADSK|ATYT|BRCM|CDWC|CECO|CTSH|DISH|ERICY|ERTS|FLEX|IACI|LBTYA|LNCR|MCIP|MLNM|NTLI|NXTL|PDCO|RIMM|SHLD|SIRI|SUNW|SYMC|WFMI|WYNN|XMSR|XRAY
2005-09-19,100,71,28,29,ACI|AHG|AVGO|BBRY|BNSOF|CDRE|CDW|CEPH|CPWR|EA|FULO|GEN|GNTX|HSIC|IAC|JAVA|LAUR|MARA|MERQ|MIRM|NPKI|NVDA|PSFT|PTEN|RYAOF|SBAC|VRTS|WFM,ADSK|ATYT|BRCM|CDWC|CECO|CELG|CTSH|DISH|ERICY|ERTS|FLEX|IACI|LBTYA|LNCR|MCIP|MERQE|MLNM|NTLI|PDCO|RIMM|SEPR|SHLD|SIRI|SUNW|SYMC|WFMI|WYNN|XMSR|XRAY
2005-12-19,100,63,36,37,ACI|AHG|AVGO|BBRY|BNSOF|CDRE|CDW|CEPH|CPWR|DLTR|EA|FULO|GEN|GNTX|HSIC|IAC|ISIL|IVGN|JAVA|LAUR|LVLT|MARA|MERQ|MIRM|MOLX|NPKI|NVLS|PSFT|QLGC|RYAOF|SANM|SBAC|SNPS|SSCC|VRTS|WFM,ADSK|ATVI|ATYT|BRCM|CDNS|CDWC|CELG|CKFR|CTSH|DISCA|DISH|ERICY|ERTS|EXPE|FLEX|GOOG|IACI|LBTYA|LNCR|MCIP|MERQE|MNST|NIHD|NTLI|PDCO|RHAT|RIMM|SEPR|SHLD|SIRI|SUNW|SYMC|URBN|WFMI|WYNN|XMSR|XRAY
2006-03-20,100,65,32,35,ACI|AVGO|BBRY|BNSOF|CDRE|CDW|DLTR|EA|ERIXF|GEN|IAC|ISIL|IVGN|JAVA|LAUR|LBTYK|LVLT|MERQ|MIRM|MOLX|MRT|MSCI|NPKI|NTLI|NVLS|QLGC|SANM|SBAC|SEBL|SNPS|SSCC|WFM,AMLN|ATVI|ATYT|BRCM|CDNS|CDWC|CHRW|CKFR|DISCA|DISH|ERICY|ERTS|EXPE|FAST|FISV|FLEX|GOOG|IACI|ISRG|JOYG|LBTYA|LNCR|MNST|MSFT|NIHD|NTLID|PDCO|PTEN|RHAT|RIMM|SUNW|SYMC|URBN|WFMI|XRAY
2006-06-19,100,64,33,36,ACI|AVGO|BBRY|BNSOF|CDRE|CDW|CHIR|DLTR|EA|ERIXF|GEN|IAC|ISIL|IVGN|JAVA|LAUR|LBTYK|LVLT|MERQ|MIRM|MOLX|MRT|MSCI|NPKI|NVLS|PIXR|QLGC|SANM|SBAC|SEBL|SNPS|SSCC|WFM,AKAM|AMLN|ATVI|ATYT|BRCM|CDNS|CDWC|CHRW|CKFR|DISCA|DISH|ERICY|ERTS|EXPE|FAST|FISV|FLEX|GOOG|IACI|ISRG|JOYG|LBTYA|LNCR|MICC|MNST|MSFT|NIHD|PDCO|PTEN|RHAT|RIMM|SUNW|SYMC|URBN|WFMI|XRAY
2006-09-18,100,64,33,36,ACI|AVGO|BBRY|BNSOF|CDRE|CDW|CHIR|DLTR|EA|ERIXF|GEN|IAC|ISIL|IVGN|JAVA|LAUR|LBTYK|LVLT|MERQ|MIRM|MOLX|MRT|MSCI|NPKI|NVLS|PIXR|QLGC|SANM|SBAC|SEBL|SNPS|SSCC|WFM,AKAM|AMLN|ATVI|ATYT|BRCM|CDNS|CDWC|CHRW|CKFR|DISCA|DISH|ERIC|ERTS|EXPE|FAST|FISV|FLEX|GOOG|IACI|ISRG|JOYG|LBTYA|LNCR|MICC|MNST|MSFT|NIHD|PDCO|PTEN|RHAT|RIMM|SUNW|SYMC|URBN|WFMI|XRAY
2006-12-18,100,64,33,36,ACI|AVGO|BBRY|BNSOF|CDRE|CDW|CHIR|DLTR|EA|ERIXF|GEN|IAC|ISIL|IVGN|JAVA|JDSU|LAUR|LBTYK|MERQ|MIRM|MOLX|MRT|MSCI|NPKI|NVLS|PIXR|QLGC|SANM|SBAC|SEBL|SNPS|SSCC|WFM,AEOS|AKAM|AMLN|ATVI|BRCM|CDNS|CDWC|CHRW|CKFR|DISCA|DISH|ERIC|ERTS|EXPE|FAST|FISV|FLEX|GOOG|IACI|INFY|ISRG|JOYG|LBTYA|LINTA|MICC|MNST|MSFT|NIHD|PDCO|PTEN|RIMM|SUNW|SYMC|VRTX|WFMI|XRAY
2007-03-19,100,71,28,29,ACI|AMLX|APCC|AVGO|BBRY|BNSOF|CAPTW|CDRE|CDW|CMVT|EA|ERIXF|GEN|IAC|JAVA|JDSU|JOY|LBTYK|MLCMF|MRT|MWW|NPKI|NTLI|NVLS|RHT|SBAC|URBN|WFM,AMLN|ATVI|BRCM|CDWC|DISH|ERIC|ERTS|FLEX|IACI|INFY|JOYG|LAMR|LBTYA|LINTA|LOGI|LVLT|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SUNW|SYMC|UAUA|VMED|VRTX|WFMI|XRAY
2007-06-18,100,70,29,30,ACI|AMLX|APCC|AVGO|BBRY|BNSOF|CAPTW|CDRE|CDW|CMVT|EA|ERIXF|GEN|IAC|JAVA|JDSU|JOY|LBTYK|MEDI|MLCMF|MRT|MWW|NPKI|NTLI|NVLS|RHT|SBAC|URBN|WFM,AMLN|ATVI|BRCM|CDWC|CEPH|DISH|ERIC|ERTS|FLEX|IACI|INFY|JOYG|LAMR|LBTYA|LINTA|LOGI|LVLT|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SUNW|SYMC|UAUA|VMED|VRTX|WFMI|XRAY
2007-09-24,100,70,29,30,ACI|AMLX|APCC|AVGO|BBRY|BMET|BNSOF|CAPTW|CDRE|CDW|CMVT|EA|ERIXF|GEN|IAC|JDSU|JOY|LBTYK|MEDI|MLCMF|MRT|MWW|NPKI|NTLI|NVLS|RHT|SBAC|URBN|WFM,AMLN|ATVI|BRCM|CDWC|CEPH|DISH|ERIC|ERTS|FLEX|FWLT|IACI|INFY|JOYG|LAMR|LBTYA|LINTA|LOGI|LVLT|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SYMC|UAUA|VMED|VRTX|WFMI|XRAY
2007-12-24,100,64,35,36,ACI|AMLX|APCC|AVGO|BBRY|BMET|BNSOF|CAPTW|CDRE|CDW|CKFR|CMVT|EA|ERIXF|GEN|IAC|JDSU|JOY|LBTYK|MEDI|MLCMF|MRT|MWW|MXIM|NPKI|NTLI|NVLS|PTEN|RHT|ROST|SBAC|SEPR|URBN|WFM|XMSR,AMLN|ATVI|BIDU|BRCM|CEPH|DISH|ERTS|FLEX|FMCN|FWLT|HANS|HOLX|HSIC|IACI|INFY|JOYG|LAMR|LBTYA|LEAP|LINTA|LOGI|LVLT|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SRCL|STLD|SYMC|UAUA|VMED|VRTX|WFMI|XRAY
2008-03-24,100,71,29,29,ACI|AMLX|AVGO|BBRY|BNSOF|CAPTW|CDW|CKFR|EA|ERIXF|FWONB|GEN|GTM|IAC|JOY|LBTYK|MLCMF|MWW|MXIM|NPKI|NVLS|PTEN|ROST|RYAOF|SBAC|SEPR|UAL|WFM|XMSR,AMLN|ATVI|BIDU|BRCM|DISH|ERTS|FLEX|FMCN|HANS|HOLX|HSIC|IACI|INFY|JOYG|LBTYA|LEAP|LINTA|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SRCL|STLD|SYMC|UAUA|WFMI|XRAY
2008-06-23,100,69,31,31,ACI|AMLX|AVGO|BBRY|BEAS|BNSOF|CAPTW|CDW|CKFR|EA|ERIXF|FWONB|GEN|GTM|IAC|JOY|LBTYK|MLCMF|MWW|MXIM|NPKI|NVLS|PTEN|ROST|RYAOF|SBAC|SEPR|TLAB|UAL|WFM|XMSR,AMLN|ATVI|BIDU|BRCM|CA|DISH|DTV|ERTS|FLEX|FMCN|HANS|HOLX|HSIC|IACI|INFY|JOYG|LBTYA|LEAP|LINTA|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SRCL|STLD|SYMC|UAUA|WFMI|XRAY
2008-09-22,100,68,32,32,ACI|AMLX|AVGO|BBRY|BEAS|BNSOF|CAPTW|CDW|CKFR|DISCA|EA|ERIXF|FWONB|GEN|GTM|IAC|JOY|LBTYK|MLCMF|MWW|MXIM|NPKI|NVLS|PTEN|ROST|RYAOF|SBAC|SEPR|TLAB|UAL|WFM|XMSR,AMLN|ATVI|BIDU|BRCM|CA|DISAD|DISH|DTV|ERTS|FLEX|FLIR|FMCN|HANS|HOLX|HSIC|IACI|INFY|JOYG|LBTYA|LEAP|LINTA|MICC|MNST|NVDA|PDCO|RIMM|RYAAY|SRCL|STLD|SYMC|WFMI|XRAY
2008-12-22,100,63,37,37,ACI|AMLX|AVGO|BBRY|BEAS|BNSOF|CAPTW|CDNS|CDW|CKFR|DISCA|EA|ERIXF|FWONB|GEN|GTM|IAC|JOY|LAMR|LBTYK|LVLT|MLCMF|MWW|NPKI|NVLS|PETM|PTEN|RYAOF|SBAC|SEPR|SIRI|SNDK|TLAB|UAL|VMED|WFM|XMSR,ADP|ATVI|BIDU|BRCM|CA|DISH|DTV|ERTS|FLEX|FLIR|FMCN|FSLR|HANS|HOLX|HSIC|IACI|ILMN|INFY|JBHT|JOYG|LBTYA|LIFE|LINTA|MICC|NVDA|ORLY|PDCO|PPDI|RIMM|RYAAY|SRCL|STLD|STX|SYMC|URBN|WCRX|XRAY
2009-03-23,100,72,27,28,AMLX|AVGO|BBRY|BNSOF|CAE|CDNS|DISCA|EA|GEN|GTM|IAC|JOY|LAMR|LBTYK|LEAP|LVLT|MLCMF|MNST|MWW|NPKI|PETM|RYAOF|SIRI|SNDK|VMED|VSME|WFM,ADP|BRCM|CA|ERTS|EXPD|FLEX|FSLR|HANS|IACI|ILMN|INFY|JBHT|JOYG|LBTYA|LIFE|MICC|MXIM|NWSA|ORLY|PPDI|RIMM|ROST|RYAAY|STX|SYMC|URBN|WCRX|XRAY
2009-06-22,100,72,27,28,AMLX|AVGO|BBRY|BNSOF|CAE|CDNS|DISCA|EA|GEN|GTM|IAC|JOY|LAMR|LBTYK|LEAP|LVLT|MLCMF|MNST|MWW|NPKI|PETM|RYAOF|SIRI|SNDK|VMED|VSME|WFM,ADP|BRCM|CA|ERTS|EXPD|FLEX|FSLR|HANS|IACI|ILMN|INFY|JBHT|JOYG|LBTYA|LIFE|MICC|MXIM|NWSA|ORLY|PPDI|RIMM|ROST|RYAAY|STX|SYMC|URBN|WCRX|XRAY
2009-09-21,100,71,28,29,AMLX|AVGO|BBRY|BNSOF|CAE|CDNS|DISCA|EA|GEN|GTM|IAC|JAVA|JOY|LAMR|LBTYK|LEAP|LVLT|MLCMF|MNST|MWW|NPKI|PETM|RYAOF|SIRI|SNDK|VMED|VSME|WFM,ADP|BRCM|CA|CERN|ERTS|EXPD|FLEX|FSLR|HANS|IACI|ILMN|INFY|JBHT|JOYG|LBTYA|LIFE|MICC|MXIM|NWSA|ORLY|PPDI|RIMM|ROST|RYAAY|STX|SYMC|URBN|WCRX|XRAY
2009-12-21,100,70,29,30,AKAM|AMLX|AVGO|BBRY|BNSOF|CAE|CDNS|DISCA|EA|GEN|GTM|IAC|JAVA|JNPR|JOY|LAMR|LBTYK|LEAP|LVLT|MLCMF|MNST|MWW|NPKI|PETM|RYAOF|SIRI|STLD|VSME|WFM,ADP|BMC|BRCM|CA|CERN|ERTS|EXPD|FLEX|FSLR|ILMN|INFY|JBHT|JOYG|LIFE|MAT|MICC|MXIM|MYL|NWSA|ORLY|PCLN|QGEN|RIMM|ROST|STX|SYMC|URBN|VOD|WCRX|XRAY
2010-03-22,100,81,19,19,AKAM|BBRY|BNSOF|CAE|EA|GEN|GOOGL|GTM|IAC|JNPR|JOY|LBTYA|LCTC|MLCMF|MNST|NPKI|PPDI|RYAOF|STLD,BMC|CA|ERTS|FLEX|GOOG|INFY|JOYG|LIFE|MAT|MICC|MYL|PCLN|QGEN|RIMM|SNDK|SYMC|VMED|VOD|XRAY
2010-06-21,100,81,19,19,AKAM|BBRY|BNSOF|CAE|EA|GEN|GOOGL|GTM|IAC|JNPR|JOY|LBTYA|LCTC|MLCMF|MNST|NPKI|PPDI|RYAOF|STLD,BMC|CA|ERTS|FLEX|GOOG|INFY|JOYG|LIFE|MAT|MICC|MYL|PCLN|QGEN|RIMM|SNDK|SYMC|VMED|VOD|XRAY
